feature,importance,fold
CODE_GENDER,373,1
FLAG_OWN_CAR,21,1
FLAG_OWN_REALTY,156,1
CNT_CHILDREN,118,1
AMT_INCOME_TOTAL,1253,1
AMT_CREDIT,1578,1
AMT_ANNUITY,2136,1
AMT_GOODS_PRICE,1688,1
REGION_POPULATION_RELATIVE,2101,1
DAYS_BIRTH,3178,1
DAYS_EMPLOYED,2933,1
DAYS_REGISTRATION,2731,1
DAYS_ID_PUBLISH,2624,1
OWN_CAR_AGE,1247,1
FLAG_MOBIL,0,1
FLAG_EMP_PHONE,1,1
FLAG_WORK_PHONE,237,1
FLAG_CONT_MOBILE,0,1
FLAG_PHONE,133,1
FLAG_EMAIL,17,1
CNT_FAM_MEMBERS,236,1
REGION_RATING_CLIENT,68,1
REGION_RATING_CLIENT_W_CITY,202,1
HOUR_APPR_PROCESS_START,1055,1
REG_REGION_NOT_LIVE_REGION,35,1
REG_REGION_NOT_WORK_REGION,19,1
LIVE_REGION_NOT_WORK_REGION,20,1
REG_CITY_NOT_LIVE_CITY,134,1
REG_CITY_NOT_WORK_CITY,65,1
LIVE_CITY_NOT_WORK_CITY,77,1
EXT_SOURCE_1,3130,1
EXT_SOURCE_2,3660,1
EXT_SOURCE_3,3868,1
APARTMENTS_AVG,347,1
BASEMENTAREA_AVG,443,1
YEARS_BEGINEXPLUATATION_AVG,478,1
YEARS_BUILD_AVG,290,1
COMMONAREA_AVG,354,1
ELEVATORS_AVG,200,1
ENTRANCES_AVG,357,1
FLOORSMAX_AVG,260,1
FLOORSMIN_AVG,150,1
LANDAREA_AVG,637,1
LIVINGAPARTMENTS_AVG,323,1
LIVINGAREA_AVG,429,1
NONLIVINGAPARTMENTS_AVG,192,1
NONLIVINGAREA_AVG,476,1
APARTMENTS_MODE,549,1
BASEMENTAREA_MODE,579,1
YEARS_BEGINEXPLUATATION_MODE,559,1
YEARS_BUILD_MODE,376,1
COMMONAREA_MODE,403,1
ELEVATORS_MODE,88,1
ENTRANCES_MODE,208,1
FLOORSMAX_MODE,79,1
FLOORSMIN_MODE,112,1
LANDAREA_MODE,640,1
LIVINGAPARTMENTS_MODE,401,1
LIVINGAREA_MODE,550,1
NONLIVINGAPARTMENTS_MODE,75,1
NONLIVINGAREA_MODE,492,1
APARTMENTS_MEDI,391,1
BASEMENTAREA_MEDI,391,1
YEARS_BEGINEXPLUATATION_MEDI,413,1
YEARS_BUILD_MEDI,197,1
COMMONAREA_MEDI,317,1
ELEVATORS_MEDI,56,1
ENTRANCES_MEDI,114,1
FLOORSMAX_MEDI,48,1
FLOORSMIN_MEDI,106,1
LANDAREA_MEDI,548,1
LIVINGAPARTMENTS_MEDI,257,1
LIVINGAREA_MEDI,477,1
NONLIVINGAPARTMENTS_MEDI,102,1
NONLIVINGAREA_MEDI,346,1
TOTALAREA_MODE,1022,1
OBS_30_CNT_SOCIAL_CIRCLE,442,1
DEF_30_CNT_SOCIAL_CIRCLE,168,1
OBS_60_CNT_SOCIAL_CIRCLE,486,1
DEF_60_CNT_SOCIAL_CIRCLE,173,1
DAYS_LAST_PHONE_CHANGE,2303,1
FLAG_DOCUMENT_2,0,1
FLAG_DOCUMENT_3,155,1
FLAG_DOCUMENT_4,0,1
FLAG_DOCUMENT_5,14,1
FLAG_DOCUMENT_6,42,1
FLAG_DOCUMENT_7,0,1
FLAG_DOCUMENT_8,37,1
FLAG_DOCUMENT_9,0,1
FLAG_DOCUMENT_10,0,1
FLAG_DOCUMENT_11,28,1
FLAG_DOCUMENT_12,0,1
FLAG_DOCUMENT_13,0,1
FLAG_DOCUMENT_14,0,1
FLAG_DOCUMENT_15,0,1
FLAG_DOCUMENT_16,62,1
FLAG_DOCUMENT_17,0,1
FLAG_DOCUMENT_18,62,1
FLAG_DOCUMENT_19,0,1
FLAG_DOCUMENT_20,0,1
FLAG_DOCUMENT_21,0,1
AMT_REQ_CREDIT_BUREAU_HOUR,0,1
AMT_REQ_CREDIT_BUREAU_DAY,38,1
AMT_REQ_CREDIT_BUREAU_WEEK,37,1
AMT_REQ_CREDIT_BUREAU_MON,153,1
AMT_REQ_CREDIT_BUREAU_QRT,200,1
AMT_REQ_CREDIT_BUREAU_YEAR,446,1
